dataset,model,gold_file,pred_file,gold_rows,pred_rows_success,merged_rows,valid_rows,coverage_vs_gold,mae,accuracy,macro_f1
cultural_udichi,gemini,gold_standard_udichi.jsonl,gemini3.1_pro_ext_udichi.jsonl,14,17,14,14,1.0,0.0,1.0,0.2
cultural_udichi,qwen,gold_standard_udichi.jsonl,qwen2.5_7b_udichi.jsonl,14,17,14,14,1.0,1.3571,0.1429,0.05
demo_pahari,gemini,gold_standard_pahari.jsonl,gemini3.1_pro_ext_pahari.jsonl,10,10,10,10,1.0,0.3,0.7,0.281
demo_pahari,qwen,gold_standard_pahari.jsonl,qwen2.5_7b_pahari.jsonl,10,6,6,6,0.6,1.8333,0.1667,0.1
demo_rohingya,gemini,gold_standard_rohingya.jsonl,gemini3.1_pro_ext_rohingya.jsonl,12,12,12,12,1.0,0.0833,0.9167,0.5333
demo_rohingya,qwen,gold_standard_rohingya.jsonl,qwen2.5_7b_rohingya.jsonl,12,12,12,11,0.9167,0.8182,0.3636,0.2889
geo_india,gemini,gold_standard_india.jsonl,gemini3.1_pro_extended_india.jsonl,50,50,50,50,1.0,0.04,0.96,0.7613
geo_india,qwen,gold_standard_india.jsonl,qwen2.5_7b_india.jsonl,50,50,50,47,0.94,0.5319,0.5532,0.3236
geo_israel_palestine,gemini,gold_standard_palestine.jsonl,gemini3.1_pro_ext_palestine.jsonl,10,10,10,10,1.0,0.0,1.0,0.6
geo_israel_palestine,gemini,gold_standard_israel.jsonl,gemini3.1_pro_ext_israel.jsonl,10,10,10,10,1.0,0.1,0.9,0.5152
geo_israel_palestine,qwen,gold_standard_israel.jsonl,qwen2.5_7b_palestine_1.jsonl,10,10,10,6,0.6,1.1667,0.5,0.3667
geo_israel_palestine,qwen,gold_standard_palestine.jsonl,qwen2.5_7b_palestine_1.jsonl,10,10,10,6,0.6,1.1667,0.3333,0.2
geo_israel_palestine,qwen,gold_standard_palestine.jsonl,qwen2.5_7b_israel.jsonl,10,9,9,6,0.6,2.3333,0.1667,0.1333
geo_israel_palestine,qwen,gold_standard_israel.jsonl,qwen2.5_7b_israel.jsonl,10,9,9,6,0.6,1.0,0.3333,0.1333
geo_israel_palestine,gemini,gold_standard_palestine.jsonl,gemini3.1_pro_ext_israel.jsonl,10,10,10,10,1.0,2.5,0.1,0.1
geo_israel_palestine,gemini,gold_standard_israel.jsonl,gemini3.1_pro_ext_palestine.jsonl,10,10,10,10,1.0,2.4,0.1,0.1
geo_pakistan,gemini,gold_standard_pakistan.jsonl,gemini3.1_pro_extended_pakistan.jsonl,41,43,41,41,1.0,0.0732,0.9268,0.5608
geo_pakistan,qwen,gold_standard_pakistan.jsonl,qwen2.5_7b_pakistan.jsonl,41,40,39,38,0.9268,0.8947,0.3684,0.3322
geo_west,gemini,gold_standard_west.jsonl,gemini3.1_pro_ext_west.jsonl,24,24,24,24,1.0,0.0417,0.9583,0.5333
geo_west,qwen,gold_standard_west.jsonl,qwen2.5_7b_west.jsonl,24,13,13,13,0.5417,0.6923,0.4615,0.1263
inst_government,gemini,gold_standard_government.jsonl,gemini3.1_pro_ext_government.jsonl,14,15,14,14,1.0,0.2857,0.7143,0.3179
inst_government,qwen,gold_standard_government.jsonl,qwen2.5_7b_government.jsonl,14,14,14,11,0.7857,0.8182,0.2727,0.1689
inst_polish,gemini,gold_standard_polish.jsonl,gemini3.1_pro_ext_polish.jsonl,15,15,15,15,1.0,0.0667,0.9333,0.3713
inst_polish,qwen,gold_standard_polish.jsonl,qwen2.5_7b_polish.jsonl,15,15,15,14,0.9333,0.5,0.5714,0.2831
inst_rab,gemini,gold_standard_rab.jsonl,gemini3.1_pro_ext_rab.jsonl,8,8,8,8,1.0,0.0,1.0,0.6
inst_rab,qwen,gold_standard_rab.jsonl,qwen2.5_7b_rab.jsonl,8,8,8,8,1.0,0.625,0.5,0.32
plt_awami_league,gemini,gold_standard_awami_league.jsonl,gemini3.1_pro_extended_awami_league.jsonl,20,20,20,20,1.0,0.3,0.8,0.4673
plt_awami_league,qwen,gold_standard_awami_league.jsonl,qwen2.5_7b_awami_league.jsonl,20,14,14,14,0.7,0.4286,0.5714,0.3467
plt_bnp,gemini,gold_standard_bnp.jsonl,gemini_3.1_pro_extended_bnp.jsonl,17,17,17,17,1.0,0.0588,0.9412,0.5526
plt_bnp,qwen,gold_standard_bnp.jsonl,qwen2.5_7b_bnp.jsonl,17,17,17,16,0.9412,0.875,0.4375,0.2655
plt_jamaat,gemini,gold_standard_jamaat.jsonl,gemini_3.1_pro_extended_jamat.jsonl,13,13,13,13,1.0,0.0769,0.9231,0.5238
plt_jamaat,qwen,gold_standard_jamaat.jsonl,qwen2.5_7b_jamaat.jsonl,13,10,10,8,0.6154,1.25,0.125,0.05
plt_letf,gemini,gold_standard_leftist.jsonl,gemini3.1_pro_ext_leftist.jsonl,9,9,9,9,1.0,0.1111,0.8889,0.5378
plt_letf,qwen,gold_standard_leftist.jsonl,qwen2.5_7b_leftist.jsonl,9,9,9,8,0.8889,0.875,0.125,0.0667
